id,relative_path,stem_name,md_content,update_date
21,日本刀/Katana names.md,Katana names,,2026-08-06T20:04:33-07:00
44,Practice list/2026-05-21.md,2026-05-21,"## After practice

- Pack your Kendogu and Kote, keep then dry and clean
- Fold your Gi and Hakama, wash them if you want
- Wash and iron your Tenugui
- Check Shinai & Bokutou are in good conditions
- Check, think, and write down the **things learnt** today, for improving",2026-08-06T20:10:18-07:00
23,Terminology/2026-05-21.md,2026-05-21,"## Why we need to know the English and Japnease terms used in Kata and BKKK

- for communication
- for understanding the meaning behind each word
- for practical usage, not for building a dictionary
",2026-08-06T20:04:33-07:00
45,BKKK/Terminology.md,Terminology,"
- 木刀による剣道基本技稽古法 Bokuto-ni-yoru Kendo Kihon-waza Keiko-ho
- 基本 Kihon
- 技 Waza
- 構え Kamae
- 目付け Metsuke
- 間合 Maai
- 一足一刀の間合 Issoku-itto-no-maai
- 打突 Datotsu
- 手の内 Tenouchi
- 刃筋 Hasuji
- 物打ち Monouchi
- 足さばき Ashi-sabaki
- 送り足 Okuri-ashi
- すり足 Suri-ashi
- 掛け声 Kakegoe
- 発声 Hassei
- 残心 Zanshin
- 元立ち Moto-dachi
- 掛り手 Kakari-te

## BKKK 立会 Tachi-ai

- 上座 Kamiza
- 正面 Shomen
- 下座 Shimoza
- 正座 Seiza
- 座礼 Zarei
- 立会の間合 Tachiai-no-maai
- 提刀 Teito
- 帯刀 Taito
- 柄頭 Tsuka-gashira
- 蹲踞 Sonkyo
- 横手交差 Yokote-kosa
- 中段の構え Chudan-no-kamae
- 鍔元 Tsuba-moto
- 剣先 Kensen



## BKKK 基本１

- 一本うちの技 Ippon-uchi-no-waza
- 正面 Shomen
- 小手 Kote
- 胴 Do
- 右胴 Migi-Do
- 突き Tsuki


---

## BKKK 基本２

- 連続技 Renzoku-waza
- 二・三段の技 Ni/San-dan-no-waza
- 小手、面 Kote-men


---

## BKKK 基本３

- 払い技 Harai-waza
- 払い面 Harai-men
- 表 Omote


---

## BKKK 基本４

- 引き技 Hiki-waza
- 引き胴 Hiki-do
- 右胴 Migi-Do


---

## BKKK 基本５

- 抜き技 Nuki-waza
- 面抜き胴 Men-nuki-do
- 右胴 Migi-Do


---

## BKKK 基本６

- すりあげ技 Suriage-waza
- 小手すりあげ面 Kote-suriage-men
- 裏 Ura
- Zanshin of this waza is both side take one step back to Kamae.


---

## BKKK 基本７

- でばな技 Debana-waza
- 出鼻技
- 出ばな小手 Debana-kote


---

## BKKK 基本８

- 返し技 Kaeshi-waza
- 面返し胴 Men-kaeshi-do
- 右胴 Migi-Do


---

## BKKK 基本９

- 打ち落とし技 Uchi-otoshi-waza
- 胴打ち落とし面 Do-uchiotoshi-men
- 右胴 Migi-Do
",2026-08-06T20:10:18-07:00
46,Kata/Terminology.md,Terminology,"
## Kata basic terms

- 方剣道 Kata Kendo
- 竹刀剣道 Shinai Kendo
- 打太刀 Uchidachi
- 仕太刀 Shidachi
- 間合 Maai
- 気位 Kigurai
- 理合い Riai
- 緩急強弱 Kan-kyu-kyo-jaku
- ヤー Yah
- トー Too
- 残心 Zan-shin
- 一拍子 Ichi-byoushi
- 冴え Sa-e
- 手の内 Te-no-uchi
- 面 Men
- 小手 Kote
- 籠手 Kote
- 甲手 Kote
- 胴 Do


---

## Kata 礼法 Rei-hou

- 礼 Rei
- 座礼 Zarei
- 正座 Seiza
- 上座 Kamiza
- 下座 Shimoza


---

## 立会 Tachiai

- 帯 Obi
- 蹲踞 Sonkyo
- すり足 Suri-ashi
- 半身 Hanmi


---

## 刀 Katana

- 木刀 Bokuto
- 刀身 To-shin
- 刃筋 Hasuji
- 鎬 Shinogi
- 物打ち Monouchi
- 剣先 Kensen
- 切先 Kissaki
- 栗形 Kurigata
- 柄頭 Tsuka-gashira
- 物打ち Mono-uchi
- 鍔元 Tsuba-moto
- 鎺 Habaki
- [Named parts of a katana](https://en.wikipedia.org/wiki/Katana#/media/File:Katana_(common_shema).png)
- [日本刀の部位名称](https://www.touken-world.jp/sword-structure/) In Japanese, more details


---

## 構え

- 身構え Mi-gamae
- 心構え Kokoro-gamae
- 気構え Ki-gamae
- 五つの構え Itsutsu-no-Kamae
- 五方の構え Goho-no-Kamae
- 中段 Chudan
- 正眼 Seigan
- 上段 Jodan
- 霞の構え Kasumi-no-Kamae
- 諸手左上段 Morote-Hidari-Jodan
- 諸手右上段 Morote-Migi-Jodan
- 下段 Gedan
- 八相 Hasso
- 脇構え Wakigamae
- 左半身 Hidari-hanmi
- 目付け Me-tsuke
- 丹田 Tanden
- 自然体 Shizentai


---

## 太刀 一本目 Ippon-me

- 切る Kiru
- 抜く Nuku


---

## 太刀 二本目 Nihon-me

- 斜めうち Naname-uchi


---

## 太刀 三本目 Sanbon-me

- 相下段 Ai-gedan
- 気争い Ki-arasoi
- 水月 Sui-getsu, Mizu-ochi
- 入れ突き Ire-zukini
- 萎し Nayashi
- 位詰め Kurai-zume


---

## 太刀 四本目 Yonhon-me

- 相打ち Ai-uchi
- 遠間 To-ma
- 切り結び Kiri-musubi
- 捲き返す Maki-kaesu


---

## 太刀 五本目

- すり上げ Suri-age


---

## 太刀 六本目

- 攻め Seme
- 払い Harai


---

## 太刀 七本目

- 捨て身 Sute-mi
- 歩あし Ayumi-ashi


---

## 小太刀

- 中段半身の構え Chudan-hanmi-no-kamae
- 下段半身の構え Gedan-hanmi-no-kamae


---

## 小太刀 一本目

- 入り身 Iri-mi
- 飛び込み Tobi-komi
- 開く Hiraku
- ひらき方 Hiraki-kata
- 受け流し Uke-nagashi


---

## 小太刀 二本目

- 攻め込む Seme-komu
- 受け流し Uke-nagashi


---

## 小太刀 三本目

- すりあげ
- すり落とし Suri-otoshi
- すり流し Suri-nagashi
- すり込む Suri-komu

",2026-08-06T20:10:18-07:00
26,Record videos/2026-05-21.md,2026-05-21,"pay attention to how feedback loop works
",2026-08-06T20:04:33-07:00
27,Ki Ken Tai no ichi/Ki Ken Tai no ichi.md,Ki Ken Tai no ichi,,2026-08-06T20:04:33-07:00
28,Physics/Kendo physics.md,Kendo physics,,2026-08-06T20:04:33-07:00
47,Suburi/Suburi factors.md,Suburi factors,"# Suburi factors

- Kamae
- Grip
- Tenouchi of two hands
- Furikaburi
- Kiri-otoshi
- Ashisabaki
- Taisabaki
",2026-08-06T20:10:18-07:00
30,日本刀/日本刀.md,日本刀,,2026-08-06T20:04:33-07:00
48,Learning method/Understanding.md,Understanding,"check what is known
check what is unknown
Understand self",2026-08-06T20:10:18-07:00
49,Learning method/Flexibility.md,Flexibility,,2026-08-06T20:10:18-07:00
50,Waza/引き技.md,引き技,"## 引き技

English: Hiki waza

- HIKI-Men
- HIKI-Kote
- HIKI-Do
",2026-08-06T20:12:38.887365-07:00
